"huc4","lagoslakeid","neon_zoneid","year","month","pct","lake_lat_decdeg","lake_lon_decdeg","wy.month","usgs.month","date.pct","date.lwy","date.usgs","pct.lwy","pct.usgs"
"0101",50865,"neon_1",2014,1,100.33,46.3147749956,-68.4597877364,1,9,2014-01-31,2014-01-31,2014-09-30,1299.88,1033.05
"0101",50865,"neon_1",2016,5,85.34,46.3147749956,-68.4597877364,1,9,2016-05-31,2016-01-31,2016-09-30,1007.47,1193.7
"0101",50865,"neon_1",2013,9,181.41,46.3147749956,-68.4597877364,1,9,2013-09-30,2013-01-31,2013-09-30,1020.26,1315.3
"0101",50865,"neon_1",2010,2,43.34,46.3147749956,-68.4597877364,1,9,2010-02-28,2010-01-31,2010-09-30,1099.87,1119.69
"0101",50865,"neon_1",2012,1,96.12,46.3147749956,-68.4597877364,1,9,2012-01-31,2012-01-31,2012-09-30,1409.47,1015.65
"0101",50865,"neon_1",2018,3,78.11,46.3147749956,-68.4597877364,1,9,2018-03-31,2018-01-31,2018-09-30,1197.71,1218.03
"0101",50865,"neon_1",2017,2,65.9,46.3147749956,-68.4597877364,1,9,2017-02-28,2017-01-31,2017-09-30,1201.43,1089.22
"0101",50865,"neon_1",2009,3,67.48,46.3147749956,-68.4597877364,1,9,2009-03-31,2009-01-31,2009-09-30,1281.09,1103.83
"0101",50865,"neon_1",2011,12,100.9,46.3147749956,-68.4597877364,1,9,2011-12-31,2011-01-31,2011-09-30,1196.05,1553.54
"0101",50865,"neon_1",2015,3,48.69,46.3147749956,-68.4597877364,1,9,2015-03-31,2015-01-31,2015-09-30,1178.94,1116.55
"0101",122337,"neon_1",2015,5,86.38,47.0366333953,-69.4679082609,1,9,2015-05-31,2015-01-31,2015-09-30,838.45,845.94
"0101",122337,"neon_1",2012,7,58.53,47.0366333953,-69.4679082609,1,9,2012-07-31,2012-01-31,2012-09-30,1226.88,934.7
"0101",122337,"neon_1",2016,12,85.55,47.0366333953,-69.4679082609,1,9,2016-12-31,2016-01-31,2016-09-30,873,1058.2
"0101",122337,"neon_1",2017,5,106.53,47.0366333953,-69.4679082609,1,9,2017-05-31,2017-01-31,2017-09-30,1091.47,893.05
"0101",122337,"neon_1",2011,12,64.07,47.0366333953,-69.4679082609,1,9,2011-12-31,2011-01-31,2011-09-30,1009.2,1317.39
"0101",122337,"neon_1",2013,9,100.64,47.0366333953,-69.4679082609,1,9,2013-09-30,2013-01-31,2013-09-30,965.17,977.57
"0101",122337,"neon_1",2010,3,68.38,47.0366333953,-69.4679082609,1,9,2010-03-31,2010-01-31,2010-09-30,1083.27,1025.21
"0101",122337,"neon_1",2014,3,52.92,47.0366333953,-69.4679082609,1,9,2014-03-31,2014-01-31,2014-09-30,935.93,823.33
"0101",122337,"neon_1",2018,11,112.11,47.0366333953,-69.4679082609,1,9,2018-11-30,2018-01-31,2018-09-30,950.59,1048.3
"0101",122337,"neon_1",2009,12,115.66,47.0366333953,-69.4679082609,1,9,2009-12-31,2009-01-31,2009-09-30,1242.71,1052.53
"0101",8454,"neon_1",2009,9,38.42,46.1237629106,-68.023121245,1,9,2009-09-30,2009-01-31,2009-09-30,1308.44,1179
"0101",8454,"neon_1",2014,10,173.19,46.1237629106,-68.023121245,1,9,2014-10-31,2014-01-31,2014-09-30,1383.69,1090.42
"0101",8454,"neon_1",2011,1,55.39,46.1237629106,-68.023121245,1,9,2011-01-31,2011-01-31,2011-09-30,1159.84,1467.03
"0101",8454,"neon_1",2010,6,140.27,46.1237629106,-68.023121245,1,9,2010-06-30,2010-01-31,2010-09-30,1177,1093.48
"0101",8454,"neon_1",2016,10,71.41,46.1237629106,-68.023121245,1,9,2016-10-31,2016-01-31,2016-09-30,1053.19,1155.43
"0101",8454,"neon_1",2015,4,81.41,46.1237629106,-68.023121245,1,9,2015-04-30,2015-01-31,2015-09-30,1233.32,1178.96
